label,probe,best_mean,best_alpha,best_zeta,best_epoch
vicreg_bs2,linear,0.307986319065094,0.17798809707164764,0.4379845261573791,11.0
vicreg_bs2,knn,0.2323148548603058,0.17296196520328522,0.29166775941848755,13.0
vicreg_bs2,attentive,0.13418734818696976,0.0908055305480957,0.1775691658258438,11.0
vicreg_bs8,linear,0.2425273954868317,0.06394152343273163,0.4211132228374481,13.0
vicreg_bs8,knn,0.21715599298477173,0.04784372448921203,0.38646820187568665,23.0
vicreg_bs8,attentive,0.08126147463917732,0.02788340300321579,0.13463954627513883,13.0
fft,linear,0.2120027095079422,0.051367610692977905,0.3726378381252289,21.0
fft,knn,0.17409540712833405,0.04292270168662071,0.30526813864707947,19.0
fft,attentive,0.07868432439863682,0.02796298637986183,0.1294056624174118,17.0
cnn_attn,linear,0.206720307469368,0.0512838289141655,0.3621567785739898,17.0
cnn_attn,knn,0.1843348890542984,0.043852727860212326,0.32481706142425537,17.0
cnn_attn,attentive,0.07219684775918722,0.027896201238036156,0.11649749428033827,13.0
sigreg,linear,0.5990561246871948,0.32672420144081116,0.8713880181312561,1.0
sigreg,knn,0.4784197509288788,0.22755885124206543,0.7292806506156921,1.0
vit3d,linear,0.08565624058246613,0.004631181713193655,0.16668131947517395,5.0
vit3d,knn,0.08142320066690445,,,29.0
