epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine
1,0.5990561246871948,0.32672420144081116,0.8713880181312561,0.4784197509288788,0.22755885124206543,0.7292806506156921,50,1
3,0.8050172328948975,0.7472875118255615,0.8627470135688782,0.6097264289855957,0.4194868505001068,0.799966037273407,50,1
5,0.7560575008392334,0.657310426235199,0.8548045754432678,0.6493793725967407,0.4724368155002594,0.8263218402862549,50,1
7,0.8142958879470825,0.7678695917129517,0.8607223629951477,0.6992530226707458,0.5800544023513794,0.8184516429901123,50,0
9,0.781779408454895,0.7022939324378967,0.8612649440765381,0.6820769906044006,0.5639981031417847,0.8001558184623718,50,0
11,0.8094553351402283,0.7687444090843201,0.8501662015914917,0.7210941910743713,0.6299782991409302,0.8122100830078125,50,0
13,0.8066197037696838,0.7617083787918091,0.8515310883522034,0.7330725789070129,0.6477156281471252,0.8184295296669006,50,1
15,0.8131566643714905,0.7680711150169373,0.858242392539978,0.7299389839172363,0.647774875164032,0.8121030330657959,50,0
17,0.8050251007080078,0.7504323720932007,0.8596179485321045,0.7539746165275574,0.6763631105422974,0.8315861225128174,50,1
19,0.8099703192710876,0.7592731714248657,0.8606674075126648,0.7646406292915344,0.7027968168258667,0.8264845013618469,50,0
