epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.8092448115348816,0.7613063454627991,0.8571832180023193,0.7662960886955261,0.7142961621284485,0.8182960748672485,50,1,0.5863146632909775,0.31905296444892883,0.8535763621330261
3,0.7330939769744873,0.6445872783660889,0.8216006755828857,0.6552173495292664,0.5648081302642822,0.74562668800354,50,1,0.2883750647306442,0.08545324206352234,0.4912968873977661
5,0.4781115651130676,0.2625536620616913,0.6936693787574768,0.4967970848083496,0.31658676266670227,0.6770074367523193,20,1,0.15768658556044102,0.046025294810533524,0.2693478763103485
7,0.361596018075943,0.1802210807800293,0.5429710149765015,0.40823593735694885,0.11745220422744751,0.6990196704864502,20,0,0.10894726775586605,0.030376028269529343,0.18751850724220276
9,0.2871323525905609,0.10784517973661423,0.466419517993927,0.3069216012954712,0.057097651064395905,0.5567455291748047,5,0,0.09625723771750927,0.028816502541303635,0.1636979728937149
11,0.26669153571128845,0.0731830969452858,0.4601999819278717,0.2502542734146118,0.050335098057985306,0.45017343759536743,5,0,0.08858432434499264,0.021861862391233444,0.15530678629875183
13,0.24252739548683167,0.06394152343273163,0.4211132228374481,0.23788388073444366,0.03911089152097702,0.4366568624973297,5,0,0.08126147463917732,0.02788340300321579,0.13463954627513885
15,0.2451419085264206,0.061228230595588684,0.4290555417537689,0.2382778376340866,0.044979631900787354,0.43157607316970825,10,1,0.08821474015712738,0.03232352435588837,0.1441059559583664
17,0.2438339740037918,0.06300929933786392,0.4246586561203003,0.23266147077083588,0.039535749703645706,0.42578718066215515,10,0,0.09154095686972141,0.040103379637002945,0.14297853410243988
19,0.2430504858493805,0.06493222713470459,0.42116880416870117,0.22002515196800232,0.04720994457602501,0.39284035563468933,5,0,0.09522968344390392,0.03681103512644768,0.15364833176136017
21,0.24272282421588898,0.06482696533203125,0.4206187129020691,0.22150355577468872,0.048084650188684464,0.3949224352836609,5,0,0.09960246458649635,0.04192390292882919,0.1572810262441635
23,0.24860043823719025,0.07081593573093414,0.42638492584228516,0.21715599298477173,0.047843724489212036,0.38646820187568665,5,0,0.09417778812348843,0.04848982021212578,0.13986575603485107
25,0.2459639459848404,0.06890953332185745,0.42301827669143677,0.22322529554367065,0.05520771071314812,0.3912428617477417,10,0,0.09393179044127464,0.04453323036432266,0.14333035051822662
27,0.24409617483615875,0.06863691657781601,0.4195554256439209,0.23411600291728973,0.04986358806490898,0.41836848855018616,10,0,0.10510276071727276,0.05228027328848839,0.15792524814605713
